"Learning Activity","Users Who Completed","Viewers","Average Study Time","Total Study Time","Average Score"
"Zoom","158","214","04:33h","46d 05:05h","-"
"computer building block","192","204","00:12h","2d 01:26h","-"
"computer hardware","174","177","00:09h","1d 11:43h","-"
"computer software","159","162","00:06h","23:25h","-"
"software and hardware deployment","160","165","00:05h","21:12h","-"
"assessment","149","169","00:43h","7d 08:37h","-"
"computer networks","162","165","00:09h","1d 14:01h","-"
"numbering system","164","168","00:12h","1d 23:23h","-"
"network components","150","153","00:08h","1d 07:33h","-"
"tcp ip","148","153","00:03h","10:31h","-"
"ip class","147","153","00:02h","07:19h","-"
"assessment","146","161","01:34h","15d 23:19h","-"
"network services","152","154","00:09h","1d 13:03h","-"
"ip lookup","142","144","00:10h","1d 15:23h","-"
"domain name","136","143","00:03h","13:48h","-"
"dhcp","137","142","00:03h","11:16h","-"
"dns","128","133","00:02h","07:25h","-"
"proxy and vpn","127","132","00:06h","1d 01:26h","-"
"url","136","141","00:05h","21:01h","-"
"assessment","141","149","00:57h","9d 17:27h","-"
"message and message types","138","146","00:06h","1d 00:34h","-"
"message type","137","139","00:03h","13:18h","-"
"xml","138","142","00:13h","2d 05:52h","-"
"json","133","137","00:07h","1d 03:11h","-"
"flat file","138","141","00:04h","16:44h","-"
"assessment","134","147","01:47h","18d 04:46h","-"
"schema","135","149","00:12h","1d 22:55h","-"
"schema","139","141","00:17h","2d 19:34h","-"
"assessment","125","140","02:06h","21d 06:51h","-"
"soap api","141","147","00:07h","1d 02:55h","-"
"api","132","133","00:05h","19:30h","-"
"soap","124","130","00:04h","16:59h","-"
"wsdl","116","121","00:04h","14:49h","-"
"soap ui","126","128","00:04h","16:52h","-"
"assessment","123","134","00:14h","2d 07:31h","-"
"restful api","123","134","00:06h","22:53h","-"
"rest constraints","125","130","00:04h","15:40h","-"
"http request methods","118","122","00:02h","10:01h","-"
"http response status codes","117","123","00:02h","08:35h","-"
"http header","121","126","00:01h","03:18h","-"
"test rest with postman and soapui","124","129","00:09h","1d 12:57h","-"
"assessment","124","133","00:18h","2d 23:14h","-"
"Certificate of completion","106","142","00:02h","08:16h","-"
"Proceed to next steps","139","140","00:02h","09:51h","-"
